"time","ip","ua","kw","ts"
"2025-08-14T15:36:22+02:00","::1","Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.22621.4391","Probe","999"
"2025-08-14T16:35:09+02:00","::1","Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.22621.4391","Probe","999"
"2025-08-14T16:37:20+02:00","::1","curl/8.12.1","Probe","999"
"2025-08-14T17:43:56+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Braces",""
"2025-08-14T17:53:38+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","How Much are Remote Access Software","1755186804757"
"2025-08-14T18:01:01+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Remote Access Software Price","1755187258772"
"2025-08-14T18:11:38+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Remote Access Software Price","1755187895881"
"2025-08-14T18:12:13+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Remote Access Software Price","1755187895881"
"2025-08-14T18:12:38+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Remote Jobs Price","1755187946719"
"2025-08-14T19:28:22+02:00","::1","curl/8.12.1","Probe","999"
